240*40,Commodity,,,S&P500 (US),,,,,,,,,,,,,Mexican Bolsa (Mexico),,,Brazil Bovespa (Brazil),,,FTSE 100 (UK),,,DAX (Germany) ,,,CAC 40 (France),,,Nikkei (Japan),,,Hang Seng (Hongkong),,,Shanghai Composite,,,,
,GOLD,CRUDE OIL,CORN,3M,APPLE,COF,SCHW,COCA COLA,BAC,CSX,DTE,EXELON,NUE,TXT,DIS,XEL,GRUPO MEXICO 'B',AFLAA,FEMSAUBD,USIM5.SA,BBAS3.SA,TRPL4.SA,TESCO,BP,BT GROUP,BMW,ALLIANZ,SIEMENS,TELEPERFORMANCE,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,LVMH,SONY GROUP,TOYOTA MOTOR,FUJITA ENGINEERING,HSBC HOLDINGS,CK HUTCHISON HOLDINGS,HANG SENG BANK,Shanghai Airport,SPDB,HISENSE,,
03/01/2001,0.991291458,0.790338164,1.055555556,1.182558595,0.959632425,1.178021978,1.203661327,0.952765351,1.256291824,1.049011765,0.973684211,0.975968992,1.05527385,1.011481633,1.035417603,1.013921114,1.123505976,0.9,0.935332709,1.259887006,1.195767196,1.173076923,1.005512679,0.97723133,0.903955062,1.044117647,0.982714825,1.001459928,1.074896212,1.015946195,0.938356518,0.958737864,0.9125,1.111111111,1.051639503,1.110171487,1.091397849,1.001302083,0.948948949,0.943076923,,
03/02/2001,0.998691589,1.21393643,0.928229665,0.922907945,1.259575923,0.922835821,0.810646388,0.974514768,1.073339528,1.140187964,0.93972973,0.971247021,1.098164308,1.009026968,0.989941108,0.935469108,1.102836879,1.060606061,1.01002004,1.098654709,1.10619469,1.109289617,0.941593567,1.094128611,1.251795446,1.067605634,0.918342668,1.115027899,0.861703711,0.941791996,0.99707941,1.032911392,1.079452055,0.977777778,1.066969441,1.038157685,1.009852217,1.014304291,0.996835443,0.924959217,,
03/03/2001,0.984091334,0.86203424,1.030927835,1.023912444,0.933478143,0.925925926,0.750469043,0.910114306,0.91511194,1.081974308,1.096922634,1.089793916,1.054347826,1.070785843,0.975284432,1.1037182,0.932475884,0.895238095,1.125992063,0.971428571,1.076,1.133004926,1.007763372,0.974446337,0.758916038,1.018469657,0.975374009,0.827850099,0.802448692,1.096528083,0.93777476,0.996323529,0.997461929,0.988636364,0.866109434,0.865202588,0.917073171,1.03974359,0.984126984,1.007054674,,
03/04/2001,0.978508939,0.951713396,0.95,0.897422079,1.051192554,0.940611354,0.7135,0.849857279,1.065239551,1.007581818,1.079444153,1.030316674,0.849528405,1.008403361,0.903633838,1.065602837,0.886206897,1.106382979,0.998237885,0.756302521,0.866171004,0.769565217,0.992296433,0.982517483,0.90035654,0.867875648,0.841514802,0.858735756,0.82061323,1.006334388,0.859483816,1.07503075,1.1043257,1.022988506,0.888886555,0.934851049,0.978723404,1.011097411,1.038709677,1.026269702,,
03/05/2001,1.036345967,1.133387889,0.968421053,1.178560705,1.233259546,1.177715877,1.400140154,1.04679803,1.070813397,1.036992259,0.998299733,0.978150036,1.294087271,1.006851852,1.142436153,0.998003328,0.961089494,0.951923077,1.088261253,1.077777778,1.278969957,1.028248588,0.93121652,1.051601423,1.232805336,1.173134328,1.06000172,1.154118113,1.272092747,1.01950907,1.206177879,1.1201373,0.98156682,1.078651685,1.054343974,1.08484351,0.983695652,0.957317073,0.947204969,0.960750853,,
03/06/2001,1.00243811,1.032851986,0.972826087,1.014097665,0.836885798,1.057237465,0.92042042,1.022673797,1.038427167,1.075695617,1.088321168,1.002084885,1.027334397,1.061247011,1.024544657,0.996665555,1.085020243,1.121212121,1.094079481,0.737113402,0.865771812,0.884615385,1.032263443,1.068527919,0.820408163,1.010178117,1.064465486,1.000590692,1.131626054,1.010492651,0.993222095,0.949948927,0.971830986,1.03125,0.994845707,0.960886268,0.947513812,1.003821656,1.006557377,1.001776199,,
03/07/2001,1.004303087,0.879762321,1,0.978393769,1.141286863,0.910216257,0.864600326,0.960886844,1.041135972,0.941763593,1.039570758,0.959726557,0.947562634,0.9694974,0.893760664,0.969555035,0.858208955,0.873873874,0.981467754,1.006993007,1.240310078,0.99378882,1.019140688,0.908946952,1.078159498,1,0.994090685,0.882356979,0.864296448,1.007943236,0.894617563,0.858064516,1.065217391,1,0.963733021,0.988369745,0.950437318,0.984771574,0.980456026,1.003546099,,
03/08/2001,1.001304024,1.011918951,1.072625698,0.956346829,0.817946911,1.076355891,0.957232704,0.973008272,1.047280542,1.162598554,0.950107527,0.909104986,0.996105759,1.008223096,0.938269266,0.955486542,0.773913043,1,0.935045317,0.958333333,0.978125,0.96875,0.991084872,0.994773519,1.062363478,1.001259446,0.956911957,0.874824957,0.930842683,0.952119595,0.984745846,0.796992481,0.922902494,1.01010101,0.975808148,0.917650664,1.049079755,0.917525773,0.897009967,0.844522968,,
03/09/2001,1.018232558,1.044365921,1.046875,0.931710373,0.951177484,0.846551987,0.818659658,1.088814318,0.970797159,0.870233293,0.979855138,0.92999489,1,0.928900709,0.956016658,0.989526905,0.994382022,0.948453608,0.95638126,0.927536232,0.958466454,1.051612903,1.043937153,1.021015762,0.836922998,0.888050314,0.940990175,0.846047132,0.847788919,0.986634023,0.905334665,0.795597484,0.877149877,0.96,1,0.916672232,1.020467836,0.969101124,0.859259259,0.849372385,,
